---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 18:11:21 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 10
capture.afpacket.polls                                       | Total                     | 687
capture.afpacket.poll_timeout                                | Total                     | 678
capture.afpacket.poll_data                                   | Total                     | 9
decoder.pkts                                                 | Total                     | 10
decoder.bytes                                                | Total                     | 1004
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 10
decoder.arp                                                  | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 100
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 18:11:29 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 10
capture.afpacket.polls                                       | Total                     | 1773
capture.afpacket.poll_timeout                                | Total                     | 1764
capture.afpacket.poll_data                                   | Total                     | 9
decoder.pkts                                                 | Total                     | 10
decoder.bytes                                                | Total                     | 1004
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 10
decoder.arp                                                  | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 100
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 3/14/2026 -- 18:11:37 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 10
capture.afpacket.polls                                       | Total                     | 2492
capture.afpacket.poll_timeout                                | Total                     | 2483
capture.afpacket.poll_data                                   | Total                     | 9
decoder.pkts                                                 | Total                     | 10
decoder.bytes                                                | Total                     | 1004
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 10
decoder.arp                                                  | Total                     | 2
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 100
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 2
flow.active                                                  | Total                     | 2
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9800
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
